"","Filename","ROI","Date","DOY","Red_Avg","Green_Avg","Blue_Avg","Red_SD","Green_SD","Blue_SD","Brightness_Avg","Brightness_SD","Green_Index","Green_Index_SD","Greenness_Excess_index","Greenness_Excess_index_SD","Red_index","Red_Index_SD","Blue_Index","Blue_Index_SD","plant"
"1","behindestuary_07_25_17_1200",1,2017-07-25 12:00:00,206,101.037466547725,117.573437581991,46.7900508999318,19.1774235806944,20.6819066150952,15.169132869949,265.400955029648,53.5783183149896,0.446130190059693,0.0229420427516999,87.3193577163247,13.7764560933707,0.382094498017892,0.0126118038534466,0.171775311922415,0.0319960306903163,"iva"
"2","behindestuary_07_25_17_1200",2,2017-07-25 12:00:00,206,132.188658512169,136.442219314706,38.6880415702452,28.8298365257968,27.1740828270773,16.6792280954531,307.31891939712,68.9897102716399,0.447336960113457,0.0259769198644333,102.007738546997,21.0339043882014,0.431456381275177,0.0200267672458395,0.121206658611366,0.0363174071670376,"c3"
"3","behindestuary_08_14_17_1200",1,2017-08-14 12:00:00,226,84.3791452737059,95.2891088126597,47.056943721011,18.1546991785522,19.7206738292548,14.235185070895,226.725197807377,50.7124882459249,0.422554411050561,0.0228490518406004,59.1421286306025,13.496059310667,0.373501615069562,0.0141912214028432,0.203943973879878,0.0306551403957053,"iva"
"4","building_08_03_17_1200",1,2017-08-03 12:00:00,215,141.001505646173,132.694629861982,78.7463488080301,44.0601347246551,42.4283167061212,39.6008431804907,352.442484316186,124.458797550974,0.383000261642414,0.0302131721493211,45.6414052697616,19.9926608457345,0.408117718002824,0.0344159731646634,0.208882020354762,0.0509048730189999,"c3"
"5","building_08_03_17_1200",2,2017-08-03 12:00:00,215,136.575732337737,127.28836875359,69.9341757610569,45.2989990967746,38.641990375641,37.7513744853189,333.798276852384,119.857920395277,0.391736679799353,0.0405640798699061,48.066829408386,21.1614580288131,0.414532751544635,0.0334420813398557,0.193730568656012,0.0536438706061825,"c3"
"6","centerdifferentview_07_11_17_1200",1,2017-07-11 12:00:00,192,62.5113292862675,54.2038272252617,29.408728671713,14.9883953913263,12.2473466959568,12.1387602375605,146.123885183242,38.6474750430784,0.375601634233768,0.0255702855731818,16.4875964925429,6.91785931825595,0.431407347272062,0.0284094918433026,0.19299101849417,0.0376489733697682,"c3"
"7","centerdifferentview_07_11_17_1200",2,2017-07-11 12:00:00,192,50.309686450168,45.7944008958567,24.0203247480403,10.9712963931268,8.69140138512662,8.69024997984936,120.124412094065,27.6101498336288,0.385358931683647,0.0262146803989978,17.258790593505,6.48414343803597,0.420416142998678,0.0245843603862459,0.194224925317675,0.0308085133605372,"c3"
"8","centerdifferentview_07_14_17_1200",1,2017-07-14 12:00:00,195,92.6925368687621,85.4441382392373,45.3356174586623,22.4849215046969,19.4501845650784,18.060701730105,223.472292566662,59.3809562258661,0.386720775538948,0.0203700722305647,32.8601221510502,6.42713437435662,0.417685964374944,0.02052959708088,0.195593260086109,0.0319182784116722,"c3"
"9","centerdifferentview_07_19_17_1200",1,2017-07-19 12:00:00,200,37.3522812266268,38.1219147344802,32.4801795063575,4.29899336691237,4.0010410226814,3.43128927307765,107.954375467464,11.5256878197442,0.353273225473007,0.00599843041959156,6.41136873597607,1.98530288402733,0.345690844705178,0.00636278073293522,0.301035929821815,0.00815898767149754,"c3"
"10","centerdifferentview_08_08_17_1200",1,2017-08-08 12:00:00,220,78.4125337749499,68.3995467619629,36.3515209622592,10.9932742672363,9.90231863620364,10.0473679444615,183.163601499172,30.5467842693637,0.37493243127475,0.0142528376999934,22.0350387867166,5.55212950382643,0.430067701572247,0.0168318319967507,0.194999867153004,0.0224438837482887,"c3"
